epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4511.61,0.20951,0.9757,1.23149,0.43887,0.41577,0.41273,0.21825,0.19471,0.89578,1.23878,0.008416,0.008416,0.008416
82,4565.09,0.21105,0.96783,1.23157,0.5067,0.38884,0.39868,0.21199,0.19438,0.89248,1.23734,0.0083962,0.0083962,0.0083962
83,4619.63,0.21053,0.97656,1.23697,0.53238,0.42278,0.41701,0.22598,0.1939,0.88156,1.2338,0.0083764,0.0083764,0.0083764
84,4674.38,0.2091,0.96331,1.22459,0.51456,0.40542,0.41984,0.22817,0.19332,0.88262,1.23233,0.0083566,0.0083566,0.0083566
85,4730.27,0.20915,0.96954,1.22761,0.468,0.40371,0.42301,0.23003,0.19387,0.87553,1.23387,0.0083368,0.0083368,0.0083368
86,4783.79,0.20953,0.95948,1.22724,0.56363,0.41975,0.43979,0.23842,0.19295,0.87118,1.2314,0.008317,0.008317,0.008317
87,4838.67,0.21043,0.96431,1.22291,0.54481,0.42088,0.44767,0.24637,0.19313,0.86691,1.22917,0.0082972,0.0082972,0.0082972
88,4894.64,0.20912,0.96394,1.22988,0.48898,0.4177,0.44204,0.23672,0.19363,0.87096,1.2292,0.0082774,0.0082774,0.0082774
89,4949.06,0.20753,0.95982,1.22059,0.49184,0.4094,0.42648,0.23241,0.19258,0.8673,1.22689,0.0082576,0.0082576,0.0082576
90,5005.82,0.20855,0.95967,1.22077,0.55818,0.40119,0.44858,0.24625,0.19184,0.8595,1.22385,0.0082378,0.0082378,0.0082378
91,5061.18,0.20784,0.96569,1.22565,0.5732,0.3871,0.4417,0.24425,0.19104,0.85382,1.22222,0.008218,0.008218,0.008218
92,5116.1,0.20679,0.94093,1.21946,0.62632,0.41192,0.47436,0.26691,0.19107,0.85767,1.22387,0.0081982,0.0081982,0.0081982
93,5171.31,0.20791,0.95201,1.22397,0.64587,0.4256,0.49883,0.28231,0.19027,0.85513,1.21908,0.0081784,0.0081784,0.0081784
94,5223.94,0.20833,0.94856,1.22464,0.66488,0.40162,0.47776,0.2667,0.19082,0.84471,1.22097,0.0081586,0.0081586,0.0081586
95,5278.37,0.20667,0.94251,1.21871,0.66642,0.38959,0.46369,0.2545,0.19005,0.84785,1.21797,0.0081388,0.0081388,0.0081388
96,5333.31,0.20726,0.94326,1.21612,0.59029,0.41865,0.46849,0.25258,0.19005,0.84139,1.21914,0.008119,0.008119,0.008119
97,5387.61,0.20594,0.94265,1.2218,0.56,0.41936,0.45364,0.249,0.18954,0.84743,1.21504,0.0080992,0.0080992,0.0080992
98,5440.95,0.20577,0.94309,1.21493,0.64218,0.40319,0.49335,0.27417,0.18893,0.83483,1.21151,0.0080794,0.0080794,0.0080794
99,5494.79,0.20548,0.92982,1.21131,0.63981,0.43774,0.47956,0.27069,0.18892,0.83352,1.21292,0.0080596,0.0080596,0.0080596
100,5548.98,0.20686,0.93158,1.216,0.62846,0.43025,0.48056,0.26966,0.1882,0.83241,1.20972,0.0080398,0.0080398,0.0080398
101,5603.27,0.20624,0.93194,1.21314,0.67117,0.4441,0.5212,0.27766,0.18762,0.82358,1.20597,0.00802,0.00802,0.00802
102,5656.71,0.20517,0.92182,1.21149,0.68975,0.42997,0.54608,0.29639,0.18774,0.81715,1.20822,0.0080002,0.0080002,0.0080002
103,5711.69,0.20547,0.92075,1.21539,0.70185,0.41139,0.51008,0.27497,0.18784,0.82235,1.2069,0.0079804,0.0079804,0.0079804
104,5766.76,0.2041,0.92127,1.21085,0.68974,0.43477,0.52998,0.29216,0.18652,0.81539,1.20378,0.0079606,0.0079606,0.0079606
105,5820.53,0.20454,0.90971,1.20233,0.69057,0.44413,0.54528,0.29352,0.18792,0.81333,1.20753,0.0079408,0.0079408,0.0079408
106,5876.24,0.20382,0.91201,1.20384,0.73155,0.43626,0.56794,0.32054,0.18643,0.80456,1.20139,0.007921,0.007921,0.007921
107,5932.02,0.20408,0.91393,1.21443,0.71191,0.43673,0.5371,0.29469,0.18597,0.80064,1.19931,0.0079012,0.0079012,0.0079012
108,5985.2,0.20405,0.90835,1.20879,0.72215,0.43614,0.53213,0.30152,0.18656,0.80383,1.20196,0.0078814,0.0078814,0.0078814
109,6042.1,0.20409,0.91018,1.20853,0.67115,0.43344,0.53336,0.29759,0.18593,0.79413,1.19896,0.0078616,0.0078616,0.0078616
110,6096.24,0.20323,0.90693,1.20408,0.73725,0.43322,0.55013,0.3065,0.18516,0.79443,1.19817,0.0078418,0.0078418,0.0078418
111,6150.12,0.20326,0.89886,1.20574,0.71377,0.44563,0.5115,0.28015,0.18519,0.79224,1.19672,0.007822,0.007822,0.007822
112,6205.93,0.20255,0.89507,1.19949,0.72293,0.43051,0.56178,0.30929,0.18491,0.78197,1.19588,0.0078022,0.0078022,0.0078022
113,6261.35,0.20265,0.90389,1.21321,0.706,0.44249,0.54602,0.31084,0.18425,0.77972,1.19454,0.0077824,0.0077824,0.0077824
114,6317.39,0.20348,0.89877,1.19882,0.6701,0.44791,0.5463,0.31893,0.18461,0.78385,1.19289,0.0077626,0.0077626,0.0077626
115,6371.89,0.20207,0.89147,1.19868,0.70761,0.44692,0.56601,0.32938,0.18462,0.77255,1.19227,0.0077428,0.0077428,0.0077428
116,6425.19,0.20232,0.89622,1.20516,0.64051,0.46822,0.56282,0.31254,0.1847,0.77149,1.19336,0.007723,0.007723,0.007723
117,6479.79,0.20124,0.88501,1.19781,0.71084,0.43933,0.54685,0.30144,0.18344,0.77394,1.18853,0.0077032,0.0077032,0.0077032
118,6534.24,0.20106,0.8795,1.19333,0.68591,0.46921,0.56898,0.31759,0.1827,0.76595,1.18615,0.0076834,0.0076834,0.0076834
119,6588.21,0.20108,0.88193,1.19524,0.69998,0.43591,0.51627,0.29406,0.18258,0.76758,1.1852,0.0076636,0.0076636,0.0076636
120,6644.56,0.20102,0.8825,1.19484,0.70233,0.46611,0.57256,0.3273,0.18272,0.75928,1.18347,0.0076438,0.0076438,0.0076438
121,6699,0.20115,0.87649,1.18929,0.69642,0.44822,0.5626,0.32219,0.18239,0.76338,1.18381,0.007624,0.007624,0.007624
122,6753.78,0.20115,0.8854,1.19614,0.71548,0.4729,0.58396,0.3369,0.18127,0.75455,1.18012,0.0076042,0.0076042,0.0076042
123,6807.82,0.20033,0.86313,1.19025,0.73903,0.46511,0.60281,0.34704,0.18176,0.75263,1.18134,0.0075844,0.0075844,0.0075844
124,6861.3,0.20043,0.87832,1.20032,0.71194,0.47139,0.59003,0.33349,0.18114,0.74829,1.17841,0.0075646,0.0075646,0.0075646
125,6916.85,0.20097,0.87448,1.19834,0.67698,0.48164,0.56744,0.31831,0.18105,0.74345,1.17652,0.0075448,0.0075448,0.0075448
126,6972.57,0.19872,0.86266,1.18424,0.73308,0.47299,0.58769,0.33815,0.18052,0.73895,1.17412,0.007525,0.007525,0.007525
127,7030.79,0.19989,0.8639,1.18605,0.73246,0.47172,0.59305,0.34103,0.17993,0.7418,1.17322,0.0075052,0.0075052,0.0075052
128,7085.9,0.19925,0.8663,1.19121,0.70587,0.47736,0.56025,0.33535,0.17933,0.73554,1.17102,0.0074854,0.0074854,0.0074854
129,7139.61,0.19879,0.86304,1.18678,0.70805,0.4731,0.58994,0.34006,0.17907,0.73,1.1706,0.0074656,0.0074656,0.0074656
130,7192.77,0.19891,0.85098,1.18557,0.70699,0.48504,0.58306,0.33111,0.17828,0.72599,1.16736,0.0074458,0.0074458,0.0074458
131,7244.3,0.19796,0.85696,1.18828,0.68243,0.50587,0.59336,0.34473,0.17834,0.72597,1.16733,0.007426,0.007426,0.007426
132,7300.96,0.19827,0.85507,1.18588,0.72539,0.48518,0.59785,0.34624,0.17745,0.72273,1.16454,0.0074062,0.0074062,0.0074062
133,7354.92,0.19912,0.8558,1.18422,0.73457,0.48978,0.60886,0.35233,0.17744,0.71641,1.16273,0.0073864,0.0073864,0.0073864
134,7408.96,0.19676,0.84204,1.17971,0.74793,0.4799,0.60122,0.36106,0.17774,0.71564,1.16581,0.0073666,0.0073666,0.0073666
